"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"A1BG","A1BG",3,13,1.421,"0.259-5.182",0.481390254039294,1
"A1CF","A1CF",3,13,1.421,"0.259-5.182",0.481390254039294,1
"A2M","A2M",5,33,0.932,"0.283-2.409",1,1
"A2ML1","A2ML1",7,52,0.827,"0.316-1.834",0.849987422311981,1
"A3GALT2","A3GALT2",3,16,1.154,"0.215-4.041",0.741504891089014,1
"A4GALT","A4GALT",1,14,0.439,"0.01-2.89",0.709996289764432,1
"A4GNT","A4GNT",0,9,0,"0-3.117",0.622676612666482,1
"AAAS","AAAS",2,25,0.491,"0.056-1.975",0.57415365729949,1
"AACS","AACS",6,22,1.681,"0.556-4.289",0.269597015607519,1
"AADAC","AADAC",0,13,0,"0-2.018",0.237075628696029,1
"AADACL2","AADACL2",2,11,1.119,"0.12-5.136",0.701727828969992,1
"AADACL3","AADACL3",3,9,2.053,"0.357-8.245",0.22966252990832,1
"AADACL4","AADACL4",2,12,1.025,"0.111-4.615",1,1
"AADAT","AADAT",0,4,0,"0-9.323",1,1
"AAED1","AAED1",2,12,1.025,"0.111-4.615",1,1
"AAGAB","AAGAB",4,13,1.896,"0.449-6.153",0.282760427400664,1
"AAK1","AAK1",6,29,1.274,"0.431-3.133",0.622339269721269,1
"AAMDC","AAMDC",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AAMP","AAMP",3,8,2.31,"0.394-9.644",0.190882615970189,1
"AANAT","AANAT",2,10,1.231,"0.131-5.787",0.679878101976289,1
"AAR2","AAR2",0,14,0,"0-1.854",0.241575351311578,1
"AARD","AARD",2,5,2.463,"0.234-15.066",0.255111685903417,1
"AARS","AARS",5,31,0.992,"0.301-2.582",1,1
"AARS2","AARS2",10,30,2.06,"0.896-4.346",0.0625004793313179,1
"AARSD1","AARSD1",5,16,1.927,"0.551-5.519",0.202045084099006,1
"AASDH","AASDH",3,27,0.683,"0.132-2.224",0.790947924273004,1
"AASDHPPT","AASDHPPT",1,4,1.538,"0.031-15.557",0.529226454405268,1
"AASS","AASS",3,24,0.768,"0.148-2.537",1,1
"AATF","AATF",2,22,0.558,"0.064-2.277",0.565568150629973,1
"AATK","AATK",12,46,1.612,"0.774-3.105",0.179412019507588,1
"ABAT","ABAT",1,6,1.025,"0.022-8.464",1,1
"ABCA1","ABCA1",14,46,1.884,"0.953-3.503",0.0581853107434647,1
"ABCA10","ABCA10",5,34,0.904,"0.275-2.331",1,1
"ABCA12","ABCA12",13,61,1.315,"0.66-2.43",0.397499041714452,1
"ABCA13","ABCA13",25,133,1.16,"0.721-1.799",0.486869002050556,1
"ABCA2","ABCA2",9,71,0.778,"0.341-1.568",0.625945370191442,1
"ABCA3","ABCA3",10,49,1.258,"0.566-2.524",0.455071874524004,1
"ABCA4","ABCA4",20,108,1.142,"0.668-1.862",0.606393315544771,1
"ABCA5","ABCA5",13,43,1.87,"0.919-3.559",0.0528335833911204,1
"ABCA6","ABCA6",12,45,1.648,"0.791-3.18",0.12535945706608,1
"ABCA7","ABCA7",20,98,1.26,"0.734-2.065",0.348539827704937,1
"ABCA8","ABCA8",11,32,2.126,"0.964-4.345",0.0429705891176471,1
"ABCA9","ABCA9",5,38,0.808,"0.248-2.064",0.826397090296508,1
"ABCB1","ABCB1",6,25,1.479,"0.495-3.705",0.431092104507621,1
"ABCB10","ABCB10",9,27,2.059,"0.85-4.527",0.0851722866619472,1
"ABCB11","ABCB11",5,37,0.83,"0.254-2.125",0.826339860035477,1
"ABCB4","ABCB4",9,50,1.108,"0.478-2.285",0.708201304715039,1
"ABCB5","ABCB5",9,52,1.065,"0.46-2.19",0.852616619852414,1
"ABCB6","ABCB6",7,25,1.727,"0.629-4.121",0.199718418580893,1
"ABCB7","ABCB7",1,6,1.025,"0.022-8.464",1,1
"ABCB8","ABCB8",9,22,2.529,"1.022-5.734",0.0316362603760691,1
"ABCB9","ABCB9",2,32,0.383,"0.044-1.506",0.219215505865507,1
"ABCC1","ABCC1",4,44,0.558,"0.145-1.536",0.400265205428243,1
"ABCC10","ABCC10",12,58,1.276,"0.621-2.412",0.486547292979162,1
"ABCC11","ABCC11",8,51,0.965,"0.394-2.056",1,1
"ABCC12","ABCC12",3,47,0.391,"0.078-1.218",0.147892755272585,1
"ABCC2","ABCC2",7,51,0.843,"0.322-1.873",0.849244914937769,1
"ABCC3","ABCC3",10,57,1.08,"0.49-2.143",0.859016295364933,1
"ABCC4","ABCC4",6,25,1.479,"0.495-3.705",0.431092104507621,1
"ABCC5","ABCC5",8,24,2.058,"0.797-4.751",0.0765854086621856,1
"ABCC6","ABCC6",15,58,1.599,"0.839-2.872",0.124124236770365,1
"ABCC8","ABCC8",7,32,1.348,"0.501-3.12",0.4846360456666,1
"ABCC9","ABCC9",4,21,1.172,"0.292-3.484",0.770935104837492,1
"ABCD1","ABCD1",4,11,2.241,"0.52-7.581",0.146976758973893,1
"ABCD2","ABCD2",0,10,0,"0-2.745",0.375510171744492,1
"ABCD3","ABCD3",2,15,0.82,"0.091-3.534",1,1
"ABCD4","ABCD4",4,24,1.025,"0.258-2.993",1,1
"ABCE1","ABCE1",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"ABCF1","ABCF1",9,23,2.419,"0.982-5.445",0.0353410762522546,1
"ABCF2","ABCF2",4,7,3.524,"0.755-13.89",0.0556606987162643,1
